DATE,ICSA
2014-06-14,314000
2014-06-21,315000
2014-06-28,308000
2014-07-05,302000
2014-07-12,308000
2014-07-19,294000
2014-07-26,303000
2014-08-02,295000
2014-08-09,309000
2014-08-16,303000
2014-08-23,300000
2014-08-30,303000
2014-09-06,307000
2014-09-13,288000
2014-09-20,295000
2014-09-27,290000
2014-10-04,293000
2014-10-11,281000
2014-10-18,290000
2014-10-25,291000
2014-11-01,280000
2014-11-08,291000
2014-11-15,293000
2014-11-22,303000
2014-11-29,291000
2014-12-06,291000
2014-12-13,286000
2014-12-20,276000
2014-12-27,285000
2015-01-03,294000
2015-01-10,304000
2015-01-17,298000
2015-01-24,261000
2015-01-31,281000
2015-02-07,298000
2015-02-14,285000
2015-02-21,305000
2015-02-28,317000
2015-03-07,293000
2015-03-14,290000
2015-03-21,284000
2015-03-28,269000
2015-04-04,282000
2015-04-11,298000
2015-04-18,295000
2015-04-25,269000
2015-05-02,267000
2015-05-09,271000
2015-05-16,276000
2015-05-23,281000
2015-05-30,275000
2015-06-06,278000
2015-06-13,269000
2015-06-20,273000
2015-06-27,275000
2015-07-04,292000
2015-07-11,285000
2015-07-18,265000
2015-07-25,269000
2015-08-01,270000
2015-08-08,274000
2015-08-15,279000
2015-08-22,274000
2015-08-29,279000
2015-09-05,273000
2015-09-12,264000
2015-09-19,269000
2015-09-26,272000
2015-10-03,267000
2015-10-10,265000
2015-10-17,264000
2015-10-24,264000
2015-10-31,275000
2015-11-07,276000
2015-11-14,272000
2015-11-21,261000
2015-11-28,265000
2015-12-05,280000
2015-12-12,268000
2015-12-19,260000
2015-12-26,276000
2016-01-02,273000
2016-01-09,284000
2016-01-16,290000
2016-01-23,269000
2016-01-30,281000
2016-02-06,265000
2016-02-13,263000
2016-02-20,272000
2016-02-27,269000
2016-03-05,257000
2016-03-12,263000
2016-03-19,264000
2016-03-26,273000
2016-04-02,272000
2016-04-09,263000
2016-04-16,255000
2016-04-23,259000
2016-04-30,277000
2016-05-07,290000
2016-05-14,279000
2016-05-21,268000
2016-05-28,264000
2016-06-04,265000
2016-06-11,273000
2016-06-18,261000
2016-06-25,262000
2016-07-02,256000
2016-07-09,257000
2016-07-16,260000
2016-07-23,264000
2016-07-30,266000
2016-08-06,266000
2016-08-13,265000
2016-08-20,265000
2016-08-27,262000
2016-09-03,257000
2016-09-10,253000
2016-09-17,252000
2016-09-24,247000
2016-10-01,246000
2016-10-08,251000
2016-10-15,264000
2016-10-22,257000
2016-10-29,265000
2016-11-05,251000
2016-11-12,232000
2016-11-19,248000
2016-11-26,260000
2016-12-03,252000
2016-12-10,251000
2016-12-17,262000
2016-12-24,254000
2016-12-31,236000
2017-01-07,244000
2017-01-14,246000
2017-01-21,256000
2017-01-28,241000
2017-02-04,236000
2017-02-11,242000
2017-02-18,247000
2017-02-25,232000
2017-03-04,246000
2017-03-11,244000
2017-03-18,255000
2017-03-25,256000
2017-04-01,236000
2017-04-08,237000
2017-04-15,244000
2017-04-22,251000
2017-04-29,241000
2017-05-06,237000
2017-05-13,237000
2017-05-20,234000
2017-05-27,251000
2017-06-03,244000
2017-06-10,238000
2017-06-17,243000
2017-06-24,237000
2017-07-01,248000
2017-07-08,248000
2017-07-15,241000
2017-07-22,245000
2017-07-29,242000
2017-08-05,246000
2017-08-12,236000
2017-08-19,241000
2017-08-26,239000
2017-09-02,299000
2017-09-09,275000
2017-09-16,260000
2017-09-23,262000
2017-09-30,255000
2017-10-07,246000
2017-10-14,232000
2017-10-21,236000
2017-10-28,235000
2017-11-04,240000
2017-11-11,246000
2017-11-18,238000
2017-11-25,237000
2017-12-02,235000
2017-12-09,226000
2017-12-16,242000
2017-12-23,242000
2017-12-30,243000
2018-01-06,251000
2018-01-13,229000
2018-01-20,237000
2018-01-27,221000
2018-02-03,221000
2018-02-10,224000
2018-02-17,220000
2018-02-24,215000
2018-03-03,226000
2018-03-10,223000
2018-03-17,224000
2018-03-24,220000
2018-03-31,237000
2018-04-07,234000
2018-04-14,235000
2018-04-21,207000
2018-04-28,212000
2018-05-05,210000
2018-05-12,224000
2018-05-19,230000
2018-05-26,221000
2018-06-02,221000
2018-06-09,218000
2018-06-16,220000
2018-06-23,220000
2018-06-30,228000
2018-07-07,215000
2018-07-14,212000
2018-07-21,220000
2018-07-28,218000
2018-08-04,218000
2018-08-11,213000
2018-08-18,216000
2018-08-25,214000
2018-09-01,210000
2018-09-08,211000
2018-09-15,213000
2018-09-22,212000
2018-09-29,217000
2018-10-06,213000
2018-10-13,213000
2018-10-20,219000
2018-10-27,217000
2018-11-03,217000
2018-11-10,218000
2018-11-17,222000
2018-11-24,232000
2018-12-01,232000
2018-12-08,203000
2018-12-15,216000
2018-12-22,219000
2018-12-29,228000
2019-01-05,220000
2019-01-12,216000
2019-01-19,209000
2019-01-26,236000
2019-02-02,230000
2019-02-09,228000
2019-02-16,218000
2019-02-23,224000
2019-03-02,220000
2019-03-09,224000
2019-03-16,219000
2019-03-23,215000
2019-03-30,211000
2019-04-06,203000
2019-04-13,203000
2019-04-20,226000
2019-04-27,230000
2019-05-04,225000
2019-05-11,217000
2019-05-18,213000
2019-05-25,218000
2019-06-01,220000
2019-06-08,220000
2019-06-15,219000
2019-06-22,224000
2019-06-29,222000
2019-07-06,211000
2019-07-13,217000
2019-07-20,211000
2019-07-27,216000
2019-08-03,214000
2019-08-10,218000
2019-08-17,215000
2019-08-24,215000
2019-08-31,219000
2019-09-07,208000
2019-09-14,211000
2019-09-21,215000
2019-09-28,218000
2019-10-05,212000
2019-10-12,218000
2019-10-19,213000
2019-10-26,217000
2019-11-02,212000
2019-11-09,222000
2019-11-16,223000
2019-11-23,211000
2019-11-30,206000
2019-12-07,237000
2019-12-14,229000
2019-12-21,218000
2019-12-28,220000
2020-01-04,212000
2020-01-11,207000
2020-01-18,220000
2020-01-25,212000
2020-02-01,201000
2020-02-08,204000
2020-02-15,215000
2020-02-22,220000
2020-02-29,217000
2020-03-07,211000
2020-03-14,282000
2020-03-21,3307000
2020-03-28,6867000
2020-04-04,6615000
2020-04-11,5237000
2020-04-18,4442000
2020-04-25,3867000
2020-05-02,3176000
2020-05-09,2687000
2020-05-16,2446000
2020-05-23,2123000
2020-05-30,1897000
2020-06-06,1566000
2020-06-13,1540000
2020-06-20,1482000
2020-06-27,1408000
2020-07-04,1310000
2020-07-11,1308000
2020-07-18,1422000
2020-07-25,1435000
2020-08-01,1191000
2020-08-08,971000
2020-08-15,1104000
2020-08-22,1011000
2020-08-29,884000
2020-09-05,893000
2020-09-12,866000
2020-09-19,873000
2020-09-26,849000
2020-10-03,767000
2020-10-10,842000
2020-10-17,797000
2020-10-24,758000
2020-10-31,757000
2020-11-07,711000
2020-11-14,748000
2020-11-21,787000
2020-11-28,716000
2020-12-05,862000
2020-12-12,892000
2020-12-19,806000
2020-12-26,782000
2021-01-02,784000
2021-01-09,927000
2021-01-16,875000
2021-01-23,812000
2021-01-30,812000
2021-02-06,848000
2021-02-13,834000
2021-02-20,736000
2021-02-27,754000
2021-03-06,712000
